"filename", "language", "C#", "Markdown", "XML", "JSON", "comment", "blank", "total"
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\ProgresionScout.cs", "C#", 10, 0, 0, 0, 0, 7, 17
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Rama.cs", "C#", 10, 0, 0, 0, 0, 7, 17
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Roles.cs", "C#", 8, 0, 0, 0, 0, 5, 13
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\RolesUsuario.cs", "C#", 9, 0, 0, 0, 0, 6, 15
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Scout.cs", "C#", 19, 0, 0, 0, 0, 16, 35
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\TipoAdjunto.cs", "C#", 6, 0, 0, 0, 0, 3, 9
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\TipoNombre.cs", "C#", 7, 0, 0, 0, 0, 4, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Unidad.cs", "C#", 11, 0, 0, 0, 0, 8, 19
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Usuario.cs", "C#", 15, 0, 0, 0, 0, 12, 27
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAdjuntosRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAsistenciaScoutRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAutoresRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAvisoPagoRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ICategoriaRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
