Date : 2023-10-12 00:00:57
Directory : d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo
Total : 153 files,  3032 codes, 71 comments, 1025 blanks, all 4128 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\CategoriaDto.cs                                  | C#       |          6 |          0 |          3 |          9 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\ComentarioDto.cs                                 | C#       |          9 |          0 |          6 |         15 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\FechaDto.cs                                      | C#       |          7 |          0 |          5 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\HistoricoUsuarioDto.cs                           | C#       |          8 |          0 |          6 |         14 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\LibroAutorDto.cs                                 | C#       |          7 |          0 |          5 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\LibroCategoriaDto.cs                             | C#       |          7 |          0 |          4 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\LibroDto.cs                                      | C#       |         12 |          0 |         10 |         22 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\NombreScoutDto.cs                                | C#       |         10 |          0 |          7 |         17 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\NoticiaDto.cs                                    | C#       |         16 |          0 |         10 |         26 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\ProgresionDto.cs                                 | C#       |         10 |          0 |          8 |         18 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\ProgresionScoutDto.cs                            | C#       |          8 |          0 |          5 |         13 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\RamaDto.cs                                       | C#       |          8 |          0 |          6 |         14 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\RolesDto.cs                                      | C#       |          7 |          0 |          4 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\RolesUsuarioDto.cs                               | C#       |          7 |          0 |          5 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\ScoutDto.cs                                      | C#       |         15 |          0 |         12 |         27 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\TipoAdjuntoDto.cs                                | C#       |          6 |          0 |          3 |          9 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\TipoNombreDto.cs                                 | C#       |          6 |          0 |          4 |         10 |
